"filename", "language", "JavaScript", "JSON", "Markdown", "Properties", "Ignore", "comment", "blank", "total"
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\layout\sections\TopBar\End\Mobile.js", "JavaScript", 179, 0, 0, 0, 0, 2, 20, 201
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\layout\sections\TopBar\End\Tablet.js", "JavaScript", 152, 0, 0, 0, 0, 2, 15, 169
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\layout\sections\TopBar\Mobile.js", "JavaScript", 45, 0, 0, 0, 0, 0, 7, 52
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\modal\CreateEvent\Fixed\First.js", "JavaScript", 443, 0, 0, 0, 0, 71, 39, 553
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\modal\CreateEvent\Fixed\Second.js", "JavaScript", 520, 0, 0, 0, 0, 0, 23, 543
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\modal\CreateEvent\Responsive\First.js", "JavaScript", 439, 0, 0, 0, 0, 105, 37, 581
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\modal\CreateEvent\Responsive\Second.js", "JavaScript", 123, 0, 0, 0, 0, 0, 12, 135
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\modal\CreateEvent\Responsive\Second\Base.js", "JavaScript", 438, 0, 0, 0, 0, 0, 14, 452
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\modal\CreateEvent\Responsive\Second\Full.js", "JavaScript", 467, 0, 0, 0, 0, 0, 14, 481
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\modal\CreateEvent\Time\Hour.js", "JavaScript", 66, 0, 0, 0, 0, 0, 6, 72
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\modal\CreateEvent\Time\Minute.js", "JavaScript", 66, 0, 0, 0, 0, 0, 6, 72
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\modal\CreateEvent\Time\Period.js", "JavaScript", 65, 0, 0, 0, 0, 0, 6, 71
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\pages\Loading.js", "JavaScript", 23, 0, 0, 0, 0, 0, 4, 27
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\global\sections\EventModal.js", "JavaScript", 107, 0, 0, 0, 0, 0, 5, 112
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\home\section\Events.js", "JavaScript", 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\home\section\Events\AllEvents.js", "JavaScript", 97, 0, 0, 0, 0, 0, 11, 108
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\home\section\Events\BoughtEvents.js", "JavaScript", 156, 0, 0, 0, 0, 2, 18, 176
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\home\section\Events\BoughtEvents\Empty.js", "JavaScript", 43, 0, 0, 0, 0, 0, 3, 46
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\items.js", "JavaScript", 356, 0, 0, 0, 0, 24, 21, 401
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\landing\layout\Layout.js", "JavaScript", 32, 0, 0, 0, 0, 0, 3, 35
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\landing\sections\Copyright.js", "JavaScript", 88, 0, 0, 0, 0, 0, 7, 95
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\landing\sections\Features.js", "JavaScript", 48, 0, 0, 0, 0, 0, 7, 55
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\landing\sections\Header.js", "JavaScript", 48, 0, 0, 0, 0, 0, 5, 53
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\landing\sections\Intro.js", "JavaScript", 60, 0, 0, 0, 0, 0, 12, 72
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\landing\sections\Socials.js", "JavaScript", 106, 0, 0, 0, 0, 0, 7, 113
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\landing\sections\Subscribe.js", "JavaScript", 102, 0, 0, 0, 0, 0, 17, 119
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\login\layout\Layout.js", "JavaScript", 71, 0, 0, 0, 0, 0, 5, 76
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\login\page\DesktopView.js", "JavaScript", 38, 0, 0, 0, 0, 0, 4, 42
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\login\page\MobileView.js", "JavaScript", 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\login\page\TabletView.js", "JavaScript", 33, 0, 0, 0, 0, 0, 4, 37
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\login\sections\ForgotPassword.js", "JavaScript", 80, 0, 0, 0, 0, 0, 6, 86
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\login\sections\Header.js", "JavaScript", 40, 0, 0, 0, 0, 0, 3, 43
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\login\sections\Header\Desktop.js", "JavaScript", 45, 0, 0, 0, 0, 0, 10, 55
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\login\sections\Header\Mobile.js", "JavaScript", 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\login\sections\Header\Switch.js", "JavaScript", 44, 0, 0, 0, 0, 0, 5, 49
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\login\sections\Header\Tablet.js", "JavaScript", 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\login\sections\InputBox.js", "JavaScript", 79, 0, 0, 0, 0, 0, 12, 91
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\login\sections\InputBox\Credentials.js", "JavaScript", 50, 0, 0, 0, 0, 0, 3, 53
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\login\sections\InputBox\mobile\Credential.js", "JavaScript", 50, 0, 0, 0, 0, 0, 3, 53
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\login\sections\InputBox\mobile\Mobile.js", "JavaScript", 71, 0, 0, 0, 0, 0, 13, 84
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\models\EmailModel.js", "JavaScript", 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\placeholderData.js", "JavaScript", 818, 0, 0, 0, 0, 0, 7, 825
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\profile\sections\Events.js", "JavaScript", 101, 0, 0, 0, 0, 0, 11, 112
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\profile\sections\Profile.js", "JavaScript", 76, 0, 0, 0, 0, 0, 3, 79
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\profile\sections\Profile\Desktop.js", "JavaScript", 277, 0, 0, 0, 0, 77, 25, 379
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\profile\sections\Profile\Mobile.js", "JavaScript", 591, 0, 0, 0, 0, 24, 40, 655
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\profile\sections\Profile\Modal\EditProfile.js", "JavaScript", 263, 0, 0, 0, 0, 110, 21, 394
"c:\Users\yeung\Documents\Founder's Club\Future Technologies\Projects\Prodicity\landing\components\profile\sections\Profile\Tablet.js", "JavaScript", 284, 0, 0, 0, 0, 89, 25, 398
